ID,PC modell ,ID-nr PC  gml,ID-nr strømlader gml,SERIENUMMER  (S/N)  på PC,WiFi  MAC-adr  (IPv4),Ethernet MAC-adr  
179,Lenovo L13 Yoga,36,36,R9-0XV2LJ,DA-23-27-BE-44-8E,54-8D-5A-BC-3C-CE
180,Lenovo L13 Yoga,LA-66,,R9-0XV7PD ,54-8D-5A-B6-3E-A6,48-2A-E3-81-87-69
181,Lenovo L13 Yoga,LA-55,,R9-0XV2L8,54-8D-5A-BA-89-25,54-8D-5A-BA-89-29
182,Lenovo L13 Yoga,LA-105,LA-PWR-79,R9-0XV2KE,54-8D-5A-BA-89-AC,48-2A-E3-81-A1-4A
183,Lenovo L13 Yoga,LA-67,LA-PWR-85,R9-0XV7NM,B8-9A-2A-47-88-E9,48-2A-E3-81-A4-28
184,Lenovo L13 Yoga,059,059,R9-0XV7NP,B8-9A-2A-4A-78-BF,48-2A-E3-81-81-31
185,Lenovo L13 Yoga,LA-101,,R9-0XV2L2,10.2.1.129,54-8D-5A-BA-89-BB Wi-Fi     48-2A-E3-81-AD-D3 Ethernet
186,Lenovo L13 Yoga,LA-100,LA-PWR-100,R9-0XV2MD,54-8D-5A-BD-71-DA,48-2A-E3-81-A5-D3
187,Lenovo L13 Yoga,LA-82,LA-PWR-57,R9-0XV2MG, 54-8D-5A-BD-DC-FB,48-2A-E3-81-AB-F7
188,Lenovo L13 Yoga,LA-107,,R9-0XV2L0,54-8D-5A-BB-7C-E0,wifi: 54-8D-5A-BB-7C-E0 ethernet: 48-2A-E3-81-A7-1D
189,Lenovo L13 Yoga,LA-78,LA-PWR-78,R9-0XVK5,54-8D-5A-BB-7D-58,3C-18-A0-54-AC-B5
192,Lenovo L13 Yoga,står ikke,LA-PWR-22,R9-0XV2KA,54-8D-5A-BA-89-4D,48-2A-E3-81-A1-5D
193,Lenovo L13 Yoga,LA-109,,R9-0XV2M2,54-8D-5A-BC-71-C2,48-2A-E3-81-AE-4F
194,Lenovo L13 Yoga,LA-63,,R9-0XV7P3,54-8D-5A-BA-A8-5B,48-2A-E3-81-A4-0C
